permeabiliy
-7 0 0 4.06286749e-11 4.06286749e-11 4.06286749e-11
-8 0 0 4.108430183e-11 4.108430183e-11 4.108430183e-11
-9 0 0 3.916196628e-11 3.916196628e-11 3.916196628e-11
-10 0 0 3.88318664e-11 3.88318664e-11 3.88318664e-11
-11 0 0 3.889480551e-11 3.889480551e-11 3.889480551e-11
-12 0 0 3.827768916e-11 3.827768916e-11 3.827768916e-11
-13 0 0 3.650816914e-11 3.650816914e-11 3.650816914e-11
-14 0 0 3.410581119e-11 3.410581119e-11 3.410581119e-11
-15 0 0 3.388918768e-11 3.388918768e-11 3.388918768e-11
-16 0 0 3.17651194e-11 3.17651194e-11 3.17651194e-11
-17 0 0 3.772898344e-11 3.772898344e-11 3.772898344e-11
-18 0 0 3.174686665e-11 3.174686665e-11 3.174686665e-11
-19 0 0 3.17266381e-11 3.17266381e-11 3.17266381e-11
-20 0 0 3.02547476e-11 3.02547476e-11 3.02547476e-11
-21 0 0 3.611331634e-11 3.611331634e-11 3.611331634e-11
-22 0 0 3.509734022e-11 3.509734022e-11 3.509734022e-11
-23 0 0 3.390226129e-11 3.390226129e-11 3.390226129e-11
-24 0 0 3.445113258e-11 3.445113258e-11 3.445113258e-11
-25 0 0 3.408911481e-11 3.408911481e-11 3.408911481e-11
-26 0 0 3.290134967e-11 3.290134967e-11 3.290134967e-11
-27 0 0 3.384419421e-11 3.384419421e-11 3.384419421e-11
-28 0 0 3.058244647e-11 3.058244647e-11 3.058244647e-11
-29 0 0 2.992091642e-11 2.992091642e-11 2.992091642e-11
-30 0 0 2.92769991e-11 2.92769991e-11 2.92769991e-11
-31 0 0 2.918876472e-11 2.918876472e-11 2.918876472e-11
-32 0 0 3.311172309e-11 3.311172309e-11 3.311172309e-11
-33 0 0 2.985378242e-11 2.985378242e-11 2.985378242e-11
-34 0 0 3.137259369e-11 3.137259369e-11 3.137259369e-11
-35 0 0 2.906861245e-11 2.906861245e-11 2.906861245e-11
-36 0 0 2.884808487e-11 2.884808487e-11 2.884808487e-11
-37 0 0 2.857803222e-11 2.857803222e-11 2.857803222e-11
-38 0 0 2.844886134e-11 2.844886134e-11 2.844886134e-11
-39 0 0 2.8187385e-11 2.8187385e-11 2.8187385e-11
