num_connections perm aperture
0 1.262776833e-11 1.230988302e-05
0 1.26168518e-11 1.230456101e-05
0 1.271958406e-11 1.235455417e-05
1 1.269953017e-11 1.234481114e-05
1 1.268685832e-11 1.233865065e-05
2 1.268251021e-11 1.233653608e-05
0 1.266471264e-11 1.232787702e-05
0 1.255837436e-11 1.227601289e-05
0 1.266806406e-11 1.232950805e-05
1 1.265746405e-11 1.232434861e-05
0 1.251210797e-11 1.225337895e-05
0 1.265098421e-11 1.232119355e-05
0 1.265065519e-11 1.232103333e-05
0 1.263626211e-11 1.23140223e-05
0 1.261507558e-11 1.230369485e-05
1 1.249325022e-11 1.224414157e-05
0 1.248821574e-11 1.224167427e-05
1 1.248150905e-11 1.223838668e-05
0 1.261096991e-11 1.230169252e-05
0 1.261580177e-11 1.230404898e-05
0 1.261524197e-11 1.230377599e-05
0 1.261402394e-11 1.2303182e-05
0 1.260575163e-11 1.229914711e-05
0 1.259081512e-11 1.229185834e-05
0 1.245816737e-11 1.222693782e-05
0 1.257649634e-11 1.228486696e-05
0 1.249390281e-11 1.224446135e-05
0 1.247618816e-11 1.223577778e-05
0 1.245677366e-11 1.222625388e-05
0 1.244100184e-11 1.221851145e-05
0 1.243998824e-11 1.221801371e-05
0 1.239420369e-11 1.219550919e-05
0 1.248678467e-11 1.224097284e-05
0 1.230831332e-11 1.2153179e-05
0 1.248316829e-11 1.223920012e-05
0 1.233144814e-11 1.216459525e-05
1 1.228591768e-11 1.214211728e-05
0 1.240921505e-11 1.22028923e-05
1 1.228430024e-11 1.2141318e-05
1 1.232288328e-11 1.216037004e-05
0 1.235871613e-11 1.217803734e-05
